GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SkiStationProject,tn.esprit.SkiStationProject.entities,Registration,58,0,0,0,7,0,9,0,9,0
SkiStationProject,tn.esprit.SkiStationProject.entities,Piste,41,30,0,0,9,5,8,5,8,5
SkiStationProject,tn.esprit.SkiStationProject.entities,Instructor,46,0,0,0,7,0,10,0,10,0
SkiStationProject,tn.esprit.SkiStationProject.entities,Course,66,0,0,0,9,0,14,0,14,0
SkiStationProject,tn.esprit.SkiStationProject.entities,BaseEntity,9,3,0,0,2,1,2,1,2,1
SkiStationProject,tn.esprit.SkiStationProject.entities,Subscription,73,0,0,0,8,0,11,0,11,0
SkiStationProject,tn.esprit.SkiStationProject.entities,Skier,76,0,0,0,10,0,16,0,16,0
SkiStationProject,tn.esprit.SkiStationProject,SkiStationProjectApplication,8,0,0,0,3,0,2,0,2,0
SkiStationProject,tn.esprit.SkiStationProject.configurations,OpenAPIConfig,52,0,0,0,15,0,5,0,5,0
SkiStationProject,tn.esprit.SkiStationProject.aspects,ExceptionHandlerAdvice,15,0,0,0,4,0,2,0,2,0
SkiStationProject,tn.esprit.SkiStationProject.aspects,PerformenceAspect,31,0,0,0,9,0,3,0,3,0
SkiStationProject,tn.esprit.SkiStationProject.aspects,LoggingAspects,37,0,0,0,8,0,4,0,4,0
SkiStationProject,tn.esprit.SkiStationProject.controllers,RegistrationRestController,31,0,0,0,5,0,5,0,5,0
SkiStationProject,tn.esprit.SkiStationProject.controllers,InstructorRestController,31,0,0,0,6,0,6,0,6,0
SkiStationProject,tn.esprit.SkiStationProject.controllers,SubscriptionRestController,32,0,0,0,6,0,6,0,6,0
SkiStationProject,tn.esprit.SkiStationProject.controllers,SkierRestController,48,0,0,0,10,0,9,0,9,0
SkiStationProject,tn.esprit.SkiStationProject.controllers,CourseRestController,25,0,0,0,5,0,5,0,5,0
SkiStationProject,tn.esprit.SkiStationProject.controllers,PisteRestController,25,0,0,0,6,0,5,0,5,0
SkiStationProject,tn.esprit.SkiStationProject.services,RegistrationServicesImpl,283,0,13,0,52,0,16,0,9,0
SkiStationProject,tn.esprit.SkiStationProject.services,CourseServicesImpl,30,0,0,0,5,0,5,0,5,0
SkiStationProject,tn.esprit.SkiStationProject.services,PisteServicesImpl,0,29,0,0,0,6,0,5,0,5
SkiStationProject,tn.esprit.SkiStationProject.services,SkierServicesImpl,198,0,6,0,35,0,14,0,10,0
SkiStationProject,tn.esprit.SkiStationProject.services,SubscriptionServicesImpl,148,0,6,0,24,0,13,0,9,0
SkiStationProject,tn.esprit.SkiStationProject.services,InstructorServicesImpl,58,0,0,0,10,0,6,0,6,0
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,TypeSubscription,21,0,0,0,2,0,1,0,1,0
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,TypeCourse,21,0,0,0,2,0,1,0,1,0
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,Support,15,0,0,0,2,0,1,0,1,0
SkiStationProject,tn.esprit.SkiStationProject.entities.enums,Color,0,27,0,0,0,2,0,1,0,1
